dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,512,3,50000,0.1,40,-1,0.1,5,2024-03-28_06-21-06,successful,0.0561730825659602,0.0114799846279318,0.0520860927152317,0.020432252181098,
1m,512,4,4096,0.001,40,-1,0.0025,5,2024-03-28_06-23-58,successful,0.0703567011214152,0.0170291165264807,0.0652317880794702,0.0315768367915198,
1m,512,4,4096,0.1,40,-1,0.0025,5,2024-03-28_06-30-13,successful,0.0562278118221771,0.0114871169769114,0.0523841059602648,0.0206311882590249,
1m,512,4,4096,0.001,40,-1,0.01,5,2024-03-28_06-36-31,successful,0.0705605511423843,0.0170110810454041,0.0651324503311258,0.0320300255572139,
1m,512,4,4096,0.1,40,-1,0.01,5,2024-03-28_06-42-48,successful,0.0562170396456078,0.0114740154548406,0.0524172185430463,0.0205909532503418,
1m,512,4,4096,0.001,40,-1,0.1,5,2024-03-28_06-49-05,successful,0.067030543237386,0.0153742727338456,0.0619536423841059,0.0290112017611057,
1m,512,4,4096,0.1,40,-1,0.1,5,2024-03-28_06-55-22,successful,0.0562656663636912,0.0115006022990975,0.0524503311258278,0.0206970665526273,
1m,512,4,10000,0.001,40,-1,0.0025,5,2024-03-28_07-01-38,successful,0.070020483864662,0.016314422611407,0.0651655629139073,0.0307890596945239,
1m,512,4,10000,0.1,40,-1,0.0025,5,2024-03-28_07-05-22,successful,0.0565074506532278,0.01163600129208,0.0524834437086092,0.0206021563416029,
1m,512,4,10000,0.001,40,-1,0.01,5,2024-03-28_07-09-07,successful,0.0707737840458135,0.017375557174778,0.0649668874172185,0.0321227976333688,
1m,512,4,10000,0.1,40,-1,0.01,5,2024-03-28_07-12-51,successful,0.0563099935158896,0.0115104219528108,0.0524834437086092,0.0207076616884758,
1m,512,4,10000,0.001,40,-1,0.1,5,2024-03-28_07-16-35,successful,0.0689379688381334,0.0163720276782129,0.0638079470198675,0.0308894336072935,
1m,512,4,10000,0.1,40,-1,0.1,5,2024-03-28_07-20-20,successful,0.0562282637617568,0.0115079035915624,0.0523509933774834,0.0206547995782416,
1m,512,4,50000,0.001,40,-1,0.0025,5,2024-03-28_07-24-05,successful,0.0653958618309561,0.0143450611845226,0.0614569536423841,0.0274142207950817,
