dataset_name,embed_size,n_layers,batch_size,decay,epochs,eval_epoch,learning_rate,top_k,create_time,result,eval_ndcg,eval_map,eval_precision,eval_recall,score
1m,64,3,50000,0.0001,50,-1,0.01,20,2024-04-03_23-27-38,successful,0.0829508287484456,0.0268692550215386,0.0501738410596026,0.1001328898791292,
1m,64,3,50000,0.01,50,-1,0.1,20,2024-04-03_23-31-36,successful,0.073988503322337,0.0220786253714043,0.0488990066225165,0.0793674674161853,
1m,64,3,50000,0.001,50,-1,0.1,20,2024-04-03_23-35-31,successful,0.0847242073747999,0.0276707077903587,0.0508692052980132,0.1016247079905035,
1m,64,3,50000,0.0001,50,-1,0.1,20,2024-04-03_23-39-29,successful,0.0739536817712193,0.0235176648117531,0.043841059602649,0.0906919136771501,
1m,64,4,4096,0.01,50,-1,0.0025,20,2024-04-03_23-43-28,successful,0.0703053996825961,0.020684757305928,0.0474254966887417,0.0740131985880535,
1m,64,4,4096,0.001,50,-1,0.0025,20,2024-04-03_23-49-42,successful,0.0816646951803326,0.025352525272023,0.0515149006622516,0.0925373440755607,
1m,64,4,4096,0.0001,50,-1,0.0025,20,2024-04-03_23-55-55,successful,0.0828567150697565,0.0265423835939024,0.0506788079470198,0.0982851200760673,
1m,64,4,4096,0.01,50,-1,0.01,20,2024-04-04_00-02-11,successful,0.0704157945445599,0.0206548549284199,0.0475331125827814,0.0743706444819019,
1m,64,4,4096,0.001,50,-1,0.01,20,2024-04-04_00-08-25,successful,0.0851977219940264,0.0275991871307125,0.0522102649006622,0.0994356097858194,
1m,64,4,4096,0.0001,50,-1,0.01,20,2024-04-04_00-14-38,successful,0.0836277362848017,0.027825853838195,0.0490066225165562,0.1008897909325063,
1m,64,4,4096,0.01,50,-1,0.1,20,2024-04-04_00-20-22,successful,0.0703915621626973,0.0206717027000195,0.0474751655629139,0.0746501997809454,
1m,64,4,4096,0.001,50,-1,0.1,20,2024-04-04_00-26-34,successful,0.0831911596003114,0.0266252582747228,0.0510678807947019,0.0960410174198708,
1m,64,4,4096,0.0001,50,-1,0.1,20,2024-04-04_00-32-49,successful,0.069506685435001,0.0216731074454875,0.0420364238410596,0.0812727571007055,
1m,64,4,10000,0.01,50,-1,0.0025,20,2024-04-04_00-39-04,successful,0.0699486889907915,0.0205686683140984,0.0470281456953642,0.073649048643657,
1m,64,4,10000,0.001,50,-1,0.0025,20,2024-04-04_00-44-17,successful,0.0787128413324885,0.0240861493655918,0.0506456953642384,0.0879087471112554,
1m,64,4,10000,0.0001,50,-1,0.0025,20,2024-04-04_00-49-27,successful,0.0795327395204394,0.0250197769414745,0.0496357615894039,0.0907139621823397,
1m,64,4,10000,0.01,50,-1,0.01,20,2024-04-04_00-54-40,successful,0.0702099452967678,0.0205685127191135,0.0472682119205298,0.0741113168408118,
1m,64,4,10000,0.001,50,-1,0.01,20,2024-04-04_00-59-51,successful,0.0840527344895662,0.0268773768118255,0.0519867549668874,0.0986003553543102,
1m,64,4,10000,0.0001,50,-1,0.01,20,2024-04-04_01-05-03,successful,0.0819123393962811,0.0264988750899986,0.0489817880794702,0.1004981326744158,
1m,64,4,10000,0.01,50,-1,0.1,20,2024-04-04_01-10-16,successful,0.0700852652561506,0.0205403659130712,0.0473013245033112,0.0738794072317349,
1m,64,4,10000,0.001,50,-1,0.1,20,2024-04-04_01-15-29,successful,0.08357948096059,0.0267394325716805,0.051432119205298,0.0984376938469515,
1m,64,4,10000,0.0001,50,-1,0.1,20,2024-04-04_01-20-41,successful,0.0710328556190584,0.0220745582264018,0.0429470198675496,0.0858047602499773,
1m,64,4,50000,0.01,50,-1,0.0025,20,2024-04-04_01-25-53,successful,0.0633230400624839,0.0180248544520676,0.0435347682119205,0.0665432876201423,
1m,64,4,50000,0.001,50,-1,0.0025,20,2024-04-04_01-29-55,successful,0.0665123730670341,0.0189224423064852,0.0456788079470198,0.0704433609038585,
1m,64,4,50000,0.0001,50,-1,0.0025,20,2024-04-04_01-33-55,successful,0.0671622272369897,0.0190805592632161,0.0461920529801324,0.0716580774289145,
1m,64,4,50000,0.01,50,-1,0.01,20,2024-04-04_01-37-55,successful,0.0697972339180867,0.0205668904608879,0.0470281456953642,0.0733220908404067,
1m,64,4,50000,0.001,50,-1,0.01,20,2024-04-04_01-41-57,successful,0.0813239383246594,0.0251908761532449,0.0516970198675496,0.0922395849041691,
1m,64,4,50000,0.0001,50,-1,0.01,20,2024-04-04_01-45-59,successful,0.0824676547306658,0.0263638119598471,0.0505049668874172,0.0970942607741367,
1m,64,4,50000,0.01,50,-1,0.1,20,2024-04-04_01-50-01,successful,0.0700596811459572,0.0206601357222744,0.0470529801324503,0.0737749403391758,
1m,64,4,50000,0.001,50,-1,0.1,20,2024-04-04_01-54-02,successful,0.0853922717812714,0.027755726301749,0.0519701986754966,0.1009546084852797,
1m,64,4,50000,0.0001,50,-1,0.1,20,2024-04-04_01-58-09,successful,0.0787964512683697,0.0259814461087261,0.0462334437086092,0.0964708079662057,
1m,512,1,4096,0.01,50,-1,0.0025,20,2024-04-04_02-02-11,successful,0.0834494594304686,0.0265490092326836,0.0520115894039735,0.0960737427129729,
1m,512,1,4096,0.001,50,-1,0.0025,20,2024-04-04_02-07-27,successful,0.0849068611948296,0.0281039321849102,0.0497930463576158,0.1047911603593477,
1m,512,1,4096,0.0001,50,-1,0.0025,20,2024-04-04_02-12-42,successful,0.0765827594701022,0.024790095422685,0.0443543046357615,0.0958885103686047,
1m,512,1,4096,0.01,50,-1,0.01,20,2024-04-04_02-17-55,successful,0.08307852322973,0.0262503007416445,0.0519288079470198,0.0956203937125049,
1m,512,1,4096,0.001,50,-1,0.01,20,2024-04-04_02-23-10,successful,0.0785014520375251,0.0254970405195877,0.0463327814569536,0.0953007210481576,
1m,512,1,4096,0.0001,50,-1,0.01,20,2024-04-04_02-28-25,successful,0.0576295590161917,0.016718702442241,0.0354635761589404,0.0710946740233322,
1m,512,1,4096,0.01,50,-1,0.1,20,2024-04-04_02-33-40,successful,0.0480364604608796,0.0128869614260561,0.0326241721854304,0.0548860584732086,
1m,512,1,4096,0.001,50,-1,0.1,20,2024-04-04_02-38-57,successful,0.0524284672535203,0.0147572055799687,0.0339983443708609,0.0615628864765713,
1m,512,1,4096,0.0001,50,-1,0.1,20,2024-04-04_02-44-17,successful,0.0521211789178268,0.0140108408260153,0.0335430463576158,0.0622403020085843,
1m,512,1,10000,0.01,50,-1,0.0025,20,2024-04-04_02-49-37,successful,0.0829949812638852,0.0261754830651289,0.0518791390728476,0.0965803338863314,
1m,512,1,10000,0.001,50,-1,0.0025,20,2024-04-04_02-54-07,successful,0.0847103995882865,0.0278372938617186,0.0499586092715231,0.1057467688711408,
1m,512,1,10000,0.0001,50,-1,0.0025,20,2024-04-04_02-58-36,successful,0.0797629290064717,0.0257324918522026,0.0464817880794702,0.1026300314748375,
1m,512,1,10000,0.01,50,-1,0.01,20,2024-04-04_03-03-09,successful,0.0821476242445734,0.0259413193362442,0.0511341059602649,0.0952275936296241,
1m,512,1,10000,0.001,50,-1,0.01,20,2024-04-04_03-07-40,successful,0.080293261525446,0.0260840546417423,0.0476158940397351,0.0990430051730479,
1m,512,1,10000,0.0001,50,-1,0.01,20,2024-04-04_03-12-13,successful,0.0669262035792108,0.0210468927036759,0.0393460264900662,0.0844363768336639,
1m,512,1,10000,0.01,50,-1,0.1,20,2024-04-04_03-16-42,successful,0.0767249767868743,0.0234066417369461,0.048592715231788,0.0862312295852996,
1m,512,1,10000,0.001,50,-1,0.1,20,2024-04-04_03-21-12,successful,0.053265624604714,0.0148180784855583,0.0344370860927152,0.0617903714185546,
1m,512,1,10000,0.0001,50,-1,0.1,20,2024-04-04_03-25-42,successful,0.0523940613346945,0.0146733832306481,0.0333692052980132,0.0608269884713714,
1m,512,1,50000,0.01,50,-1,0.0025,20,2024-04-04_03-30-14,successful,0.0831713532954061,0.026137710666781,0.05216059602649,0.0958024905502657,
1m,512,1,50000,0.001,50,-1,0.0025,20,2024-04-04_03-35-03,successful,0.085951863934763,0.0283322814731312,0.0506291390728477,0.107059641066521,
1m,512,1,50000,0.0001,50,-1,0.0025,20,2024-04-04_03-39-36,successful,0.0842813068480729,0.027765277166452,0.0493129139072847,0.1062503163031428,
1m,512,1,50000,0.01,50,-1,0.01,20,2024-04-04_03-44-18,successful,0.0826686256939993,0.0262909672766458,0.0516390728476821,0.0947598377117643,
1m,512,1,50000,0.001,50,-1,0.01,20,2024-04-04_03-50-02,successful,0.0844681231728564,0.0277457315403385,0.0497019867549668,0.105412929621154,
1m,512,1,50000,0.0001,50,-1,0.01,20,2024-04-04_03-54-43,successful,0.0779182735177081,0.0251942531334538,0.0451158940397351,0.0998709026612865,
1m,512,1,50000,0.01,50,-1,0.1,20,2024-04-04_03-59-23,successful,0.0806096416792603,0.0252856663299275,0.0505380794701986,0.0919376027511952,
1m,512,1,50000,0.001,50,-1,0.1,20,2024-04-04_04-04-06,successful,0.0687734825500774,0.0218381829776576,0.041092715231788,0.0827666453276239,
1m,512,1,50000,0.0001,50,-1,0.1,20,2024-04-04_04-08-45,successful,0.0525845432230837,0.0148726659669198,0.0328476821192053,0.0625499024535223,
1m,512,2,4096,0.01,50,-1,0.0025,20,2024-04-04_04-13-18,successful,0.0788914383145766,0.0240199630722603,0.0512417218543046,0.0874193854001516,
1m,512,2,4096,0.001,50,-1,0.0025,20,2024-04-04_04-19-37,successful,0.0865484115278867,0.0284925516509669,0.0514155629139072,0.105515878576553,
1m,512,2,4096,0.0001,50,-1,0.0025,20,2024-04-04_04-25-56,successful,0.0827987751464809,0.0273830410733763,0.0481043046357616,0.1031470793453228,
1m,512,2,4096,0.01,50,-1,0.01,20,2024-04-04_04-32-16,successful,0.0784029643851626,0.0238285815131224,0.0509850993377483,0.0869106599499945,
1m,512,2,4096,0.001,50,-1,0.01,20,2024-04-04_04-38-34,successful,0.0846242424981938,0.0280989102214667,0.0500745033112582,0.1010857998389695,
1m,512,2,4096,0.0001,50,-1,0.01,20,2024-04-04_04-44-53,successful,0.0736414827551458,0.0241502965658562,0.0419205298013245,0.0915937343656095,
1m,512,2,4096,0.01,50,-1,0.1,20,2024-04-04_04-51-12,successful,0.0771538936192683,0.0232293554889547,0.0502649006622516,0.0856686541064746,
1m,512,2,4096,0.001,50,-1,0.1,20,2024-04-04_04-57-30,successful,0.0563588683835112,0.0159337412518641,0.0360513245033112,0.0669911754010759,
1m,512,2,4096,0.0001,50,-1,0.1,20,2024-04-04_05-03-50,successful,0.0535165301384165,0.0152174768395288,0.0340645695364238,0.0636090492681347,
1m,512,2,10000,0.01,50,-1,0.0025,20,2024-04-04_05-10-09,successful,0.0785656940323673,0.0238911013718084,0.0509437086092715,0.0875613238478102,
1m,512,2,10000,0.001,50,-1,0.0025,20,2024-04-04_05-14-57,successful,0.0857090273050648,0.0281100055106837,0.0512168874172185,0.1053221414804556,
1m,512,2,10000,0.0001,50,-1,0.0025,20,2024-04-04_05-19-46,successful,0.0825213407524378,0.0271673792156223,0.0481622516556291,0.1037553252370269,
1m,512,2,10000,0.01,50,-1,0.01,20,2024-04-04_05-24-37,successful,0.0782954647806642,0.0236740164034198,0.0509768211920529,0.0874246364314809,
1m,512,2,10000,0.001,50,-1,0.01,20,2024-04-04_05-29-26,successful,0.0846260692477344,0.0277203348821045,0.050455298013245,0.1045531416813499,
1m,512,2,10000,0.0001,50,-1,0.01,20,2024-04-04_05-34-15,successful,0.0751461794003374,0.0239353486150192,0.0438162251655629,0.09555851012708,
1m,512,2,10000,0.01,50,-1,0.1,20,2024-04-04_05-39-07,successful,0.0773871709114427,0.0232503500954412,0.0506125827814569,0.0858456036704676,
1m,512,2,10000,0.001,50,-1,0.1,20,2024-04-04_05-43-57,successful,0.061998885031613,0.0185044087506165,0.0380380794701986,0.0743149589341142,
1m,512,2,10000,0.0001,50,-1,0.1,20,2024-04-04_05-48-46,successful,0.0530264528762872,0.0148044631037041,0.0338079470198675,0.0615576017125151,
1m,512,2,50000,0.01,50,-1,0.0025,20,2024-04-04_05-53-36,successful,0.0785639868677743,0.0237151725595641,0.051092715231788,0.0878809190403073,
1m,512,2,50000,0.001,50,-1,0.0025,20,2024-04-04_05-57-49,successful,0.0849597774169234,0.0274466344167968,0.0514403973509933,0.1021749070186532,
1m,512,2,50000,0.0001,50,-1,0.0025,20,2024-04-04_06-02-02,successful,0.0833697052358273,0.0271122002683286,0.0497930463576158,0.1025903606873549,
1m,512,2,50000,0.01,50,-1,0.01,20,2024-04-04_06-06-16,successful,0.0787195119858314,0.0238486473619846,0.0512665562913907,0.0876812149950536,
1m,512,2,50000,0.001,50,-1,0.01,20,2024-04-04_06-10-28,successful,0.0870409058248041,0.0287869250399529,0.0512086092715231,0.1077774987231368,
1m,512,2,50000,0.0001,50,-1,0.01,20,2024-04-04_06-14-41,successful,0.0825159169217515,0.0271084938022521,0.0481539735099337,0.1040091360986042,
1m,512,2,50000,0.01,50,-1,0.1,20,2024-04-04_06-18-54,successful,0.0781247838086626,0.023622588082385,0.0509271523178808,0.0865855903189628,
1m,512,2,50000,0.001,50,-1,0.1,20,2024-04-04_06-23-09,successful,0.0816348059372755,0.0262734081402483,0.0486672185430463,0.0997674603424482,
1m,512,2,50000,0.0001,50,-1,0.1,20,2024-04-04_06-27-23,successful,0.0567311740678057,0.0171352693868043,0.0346688741721854,0.0676401463370468,
1m,512,3,4096,0.01,50,-1,0.0025,20,2024-04-04_06-31-37,successful,0.0745238799636307,0.022245237433929,0.0493543046357615,0.0807701335555812,
1m,512,3,4096,0.001,50,-1,0.0025,20,2024-04-04_06-39-15,successful,0.0861150708630661,0.028047187519528,0.0519536423841059,0.1028801702928445,
1m,512,3,4096,0.0001,50,-1,0.0025,20,2024-04-04_06-46-49,successful,0.0852746252065469,0.02857116617952,0.049478476821192,0.1055710105376503,
1m,512,3,4096,0.01,50,-1,0.01,20,2024-04-04_06-54-22,successful,0.0742297935808005,0.0221733505418967,0.0492715231788079,0.0800883325162649,
1m,512,3,4096,0.001,50,-1,0.01,20,2024-04-04_07-01-56,successful,0.0859708657219301,0.0281325651245116,0.0518129139072847,0.1017432025428566,
1m,512,3,4096,0.0001,50,-1,0.01,20,2024-04-04_07-09-36,successful,0.0785941655121788,0.0259147741836786,0.0453311258278145,0.0971522358991061,
1m,512,3,4096,0.01,50,-1,0.1,20,2024-04-04_07-17-16,successful,0.0738789232139672,0.0220815911810974,0.0491307947019867,0.0793445933920226,
1m,512,3,4096,0.001,50,-1,0.1,20,2024-04-04_07-24-49,successful,0.0738063557391694,0.022478893061447,0.0461258278145695,0.0870432421896629,
1m,512,3,4096,0.0001,50,-1,0.1,20,2024-04-04_07-32-26,successful,0.055118812362274,0.0155630812302998,0.0349668874172185,0.0648943096143394,
1m,512,3,10000,0.01,50,-1,0.0025,20,2024-04-04_07-40-03,successful,0.0744514019601393,0.0222881642479543,0.0493377483443708,0.0798822203001431,
1m,512,3,10000,0.001,50,-1,0.0025,20,2024-04-04_07-45-11,successful,0.0852733413751237,0.0277462399563682,0.0515149006622516,0.1024556952163593,
1m,512,3,10000,0.0001,50,-1,0.0025,20,2024-04-04_07-50-18,successful,0.0832489259732452,0.0273646404975216,0.0491307947019867,0.1033733828041601,
1m,512,3,10000,0.01,50,-1,0.01,20,2024-04-04_07-55-26,successful,0.0742016281342046,0.0221488913618158,0.0493129139072847,0.0796247059893667,
1m,512,3,10000,0.001,50,-1,0.01,20,2024-04-04_08-00-32,successful,0.0858978756415024,0.0279292686117028,0.0517715231788079,0.1039480237976703,
1m,512,3,10000,0.0001,50,-1,0.01,20,2024-04-04_08-05-39,successful,0.0796079874590118,0.025836477175676,0.0468046357615894,0.1001657708423325,
1m,512,3,10000,0.01,50,-1,0.1,20,2024-04-04_08-10-45,successful,0.0738427740515926,0.0220778593536783,0.0489817880794702,0.0789147760111296,
1m,512,3,10000,0.001,50,-1,0.1,20,2024-04-04_08-15-50,successful,0.0805856299762779,0.0256319733634207,0.0488907284768212,0.0956831591462958,
1m,512,3,10000,0.0001,50,-1,0.1,20,2024-04-04_08-20-59,successful,0.0539846471222969,0.015317643628524,0.0340645695364238,0.0648277872186069,
1m,512,3,50000,0.01,50,-1,0.0025,20,2024-04-04_08-26-06,successful,0.0733607113156313,0.0219003097495538,0.0486920529801324,0.0780734030487606,
1m,512,3,50000,0.001,50,-1,0.0025,20,2024-04-04_08-30-28,successful,0.0825366870832932,0.0258961825455479,0.0514983443708609,0.095457334695813,
1m,512,3,50000,0.0001,50,-1,0.0025,20,2024-04-04_08-34-50,successful,0.0833502433122943,0.0268839483631706,0.0506953642384106,0.0991341455745531,
1m,512,3,50000,0.01,50,-1,0.01,20,2024-04-04_08-39-12,successful,0.0740033450946323,0.0221862725460598,0.0488162251655629,0.079122198232886,
1m,512,3,50000,0.001,50,-1,0.01,20,2024-04-04_08-43-30,successful,0.0862693746645915,0.028186637441178,0.0517715231788079,0.1042370105448938,
1m,512,3,50000,0.0001,50,-1,0.01,20,2024-04-04_08-47-51,successful,0.0847375237543104,0.0278827688301117,0.0492798013245033,0.1064475874129119,
1m,512,3,50000,0.01,50,-1,0.1,20,2024-04-04_08-52-11,successful,0.0740712481589079,0.0222190786750468,0.0489238410596026,0.0792260974336007,
1m,512,3,50000,0.001,50,-1,0.1,20,2024-04-04_08-56-33,successful,0.0843757036999816,0.0273763004873437,0.0507864238410596,0.1018588961221568,
1m,512,3,50000,0.0001,50,-1,0.1,20,2024-04-04_09-00-57,successful,0.0695426344887604,0.0216643441287554,0.0412086092715231,0.0880540640504749,
1m,512,4,4096,0.01,50,-1,0.0025,20,2024-04-04_09-05-20,successful,0.0704107241397421,0.020648242932089,0.0475165562913907,0.0745721683711197,
1m,512,4,4096,0.001,50,-1,0.0025,20,2024-04-04_09-14-14,successful,0.0852740307920585,0.0276729099358777,0.0521357615894039,0.0993964811118834,
1m,512,4,4096,0.0001,50,-1,0.0025,20,2024-04-04_09-23-06,successful,0.0856711140334541,0.0285846470735171,0.0502152317880794,0.105284411160243,
1m,512,4,4096,0.01,50,-1,0.01,20,2024-04-04_09-32-01,successful,0.0701017022374917,0.0205608416176884,0.0473261589403973,0.0741047145914265,
1m,512,4,4096,0.001,50,-1,0.01,20,2024-04-04_09-40-55,successful,0.0856802945585728,0.0276916016722402,0.0523758278145695,0.100777161579515,
1m,512,4,4096,0.0001,50,-1,0.01,20,2024-04-04_09-49-50,successful,0.0824861907933565,0.02726058544645,0.0483609271523178,0.1016986128956185,
1m,512,4,4096,0.01,50,-1,0.1,20,2024-04-04_09-58-43,successful,0.0704797219857435,0.0206630255356436,0.0475745033112582,0.0747204374918594,
1m,512,4,4096,0.001,50,-1,0.1,20,2024-04-04_10-07-37,successful,0.0811601725525886,0.0257458357653473,0.0500331125827814,0.0932285046487107,
1m,512,4,4096,0.0001,50,-1,0.1,20,2024-04-04_10-16-30,successful,0.0584027196895136,0.0172824484887892,0.0364735099337748,0.0685793103252071,
1m,512,4,10000,0.01,50,-1,0.0025,20,2024-04-04_10-25-23,successful,0.0702007959224363,0.0205797831973006,0.0472019867549668,0.0740355712488145,
1m,512,4,10000,0.001,50,-1,0.0025,20,2024-04-04_10-31-01,successful,0.0839436579249542,0.0266728519218977,0.0520364238410596,0.0984146968309663,
1m,512,4,10000,0.0001,50,-1,0.0025,20,2024-04-04_10-36-39,successful,0.0830890627297218,0.0270502865315385,0.0496523178807947,0.1018012601764105,
1m,512,4,10000,0.01,50,-1,0.01,20,2024-04-04_10-42-20,successful,0.0701672193960369,0.0205957387946602,0.0472268211920529,0.0739683969801773,
1m,512,4,10000,0.001,50,-1,0.01,20,2024-04-04_10-47-57,successful,0.0850221319712482,0.0271847720282846,0.0523013245033112,0.1014137713141545,
1m,512,4,10000,0.0001,50,-1,0.01,20,2024-04-04_10-53-36,successful,0.0824728086828091,0.0271442392607151,0.0483029801324503,0.1032782334587947,
1m,512,4,10000,0.01,50,-1,0.1,20,2024-04-04_10-59-16,successful,0.0700270540609054,0.0204629734231409,0.0473675496688741,0.0741102829187993,
1m,512,4,10000,0.001,50,-1,0.1,20,2024-04-04_11-04-53,successful,0.0838153069414562,0.0268642769085173,0.0511920529801324,0.0990021334951286,
1m,512,4,10000,0.0001,50,-1,0.1,20,2024-04-04_11-10-32,successful,0.0631599921889671,0.0190883860716224,0.038567880794702,0.0756472604719312,
1m,512,4,50000,0.01,50,-1,0.0025,20,2024-04-04_11-16-13,successful,0.069762560905819,0.020565626048998,0.0469039735099337,0.0734494641712423,
1m,512,4,50000,0.001,50,-1,0.0025,20,2024-04-04_11-20-37,successful,0.0793458765985778,0.0242000365462977,0.0507367549668874,0.0899929211682102,
1m,512,4,50000,0.0001,50,-1,0.0025,20,2024-04-04_11-25-02,successful,0.0806523938597722,0.0253741805939287,0.0502814569536423,0.0933204600579669,
1m,512,4,50000,0.01,50,-1,0.01,20,2024-04-04_11-29-27,successful,0.069924981327073,0.020572297510747,0.0471440397350993,0.0738005071769089,
1m,512,4,50000,0.001,50,-1,0.01,20,2024-04-04_11-33-53,successful,0.0855716887326545,0.0274136990321191,0.0525331125827814,0.1012730118796511,
1m,512,4,50000,0.0001,50,-1,0.01,20,2024-04-04_11-38-19,successful,0.0850801051334151,0.0280932409061949,0.0498013245033112,0.1057163678084771,
1m,512,4,50000,0.01,50,-1,0.1,20,2024-04-04_11-42-46,successful,0.0701236945503658,0.0206040959876027,0.0472350993377483,0.0737954646281009,
1m,512,4,50000,0.001,50,-1,0.1,20,2024-04-04_11-47-16,successful,0.0848815897017367,0.0274194897375474,0.0518129139072847,0.0995580856147186,
1m,512,4,50000,0.0001,50,-1,0.1,20,2024-04-04_11-51-43,successful,0.0772391292722945,0.0252897446631228,0.0445529801324503,0.0959893320963902,
1m,1024,1,4096,0.01,50,-1,0.0025,20,2024-04-04_11-56-10,successful,0.0833585184444118,0.0266290866008278,0.051796357615894,0.095721412860925,
1m,1024,1,4096,0.001,50,-1,0.0025,20,2024-04-04_12-02-41,successful,0.0842271909779926,0.0280011294065932,0.049296357615894,0.1039151983599137,
1m,1024,1,4096,0.0001,50,-1,0.0025,20,2024-04-04_12-09-11,successful,0.0756230835929793,0.0246279639467509,0.0434023178807947,0.0952332377312285,
1m,1024,1,4096,0.01,50,-1,0.01,20,2024-04-04_12-15-42,successful,0.0827058485373143,0.0261981175892225,0.0516804635761589,0.0945575048399696,
1m,1024,1,4096,0.001,50,-1,0.01,20,2024-04-04_12-22-11,successful,0.0775612321073766,0.0250139229918089,0.0455877483443708,0.0947854144578724,
1m,1024,1,4096,0.0001,50,-1,0.01,20,2024-04-04_12-28-41,successful,0.0527962595583318,0.0148074219121247,0.0335596026490066,0.0623310153571023,
1m,1024,1,4096,0.01,50,-1,0.1,20,2024-04-04_12-35-11,successful,0.0773167183002201,0.0236551367027189,0.0493046357615894,0.0870559510142646,
1m,1024,1,4096,0.001,50,-1,0.1,20,2024-04-04_12-41-41,successful,0.0514765772745171,0.014091084901189,0.0334602649006622,0.0591321362459904,
1m,1024,1,4096,0.0001,50,-1,0.1,20,2024-04-04_12-48-11,successful,0.0507306484714554,0.0141035625255825,0.0324006622516556,0.0589869246721196,
1m,1024,1,10000,0.01,50,-1,0.0025,20,2024-04-04_12-54-42,successful,0.0831058514000871,0.0262789140316129,0.0519205298013245,0.0965993223771837,
1m,1024,1,10000,0.001,50,-1,0.0025,20,2024-04-04_12-59-33,successful,0.0846208216965413,0.0277569632687215,0.0499586092715231,0.1057469661809655,
1m,1024,1,10000,0.0001,50,-1,0.0025,20,2024-04-04_13-04-25,successful,0.0784998861570044,0.0254884342098288,0.0455298013245033,0.1002916794503046,
1m,1024,1,10000,0.01,50,-1,0.01,20,2024-04-04_13-09-17,successful,0.0824029275333109,0.0259931495956921,0.051523178807947,0.0954484018500436,
1m,1024,1,10000,0.001,50,-1,0.01,20,2024-04-04_13-14-09,successful,0.0791208305564601,0.0255331621124009,0.0469950331125827,0.0978342566002942,
1m,1024,1,10000,0.0001,50,-1,0.01,20,2024-04-04_13-19-08,successful,0.0639616806246585,0.019895875890729,0.037069536423841,0.0797082349502526,
1m,1024,1,10000,0.01,50,-1,0.1,20,2024-04-04_13-23-58,successful,0.0791095140829031,0.0244517378141794,0.0500662251655629,0.0890667552126729,
1m,1024,1,10000,0.001,50,-1,0.1,20,2024-04-04_13-28-49,successful,0.0529393685038886,0.014437960553872,0.0344039735099337,0.0623136208345641,
1m,1024,1,10000,0.0001,50,-1,0.1,20,2024-04-04_13-33-42,successful,0.0489474781909631,0.0133517658698437,0.0314403973509933,0.0573245911870962,
1m,1024,1,50000,0.01,50,-1,0.0025,20,2024-04-04_13-38-33,successful,0.0836055319040303,0.0265578499369735,0.0521523178807947,0.0962905325439663,
1m,1024,1,50000,0.001,50,-1,0.0025,20,2024-04-04_13-43-08,successful,0.0861150858363907,0.0283655639681855,0.0507036423841059,0.1071536555594986,
1m,1024,1,50000,0.0001,50,-1,0.0025,20,2024-04-04_13-47-42,successful,0.0844397551671933,0.0276130079021252,0.0496109271523178,0.107214910463417,
1m,1024,1,50000,0.01,50,-1,0.01,20,2024-04-04_13-52-17,successful,0.0822775029165546,0.026274017587586,0.0512748344370861,0.093549065255078,
1m,1024,1,50000,0.001,50,-1,0.01,20,2024-04-04_13-56-52,successful,0.0834415725498205,0.0271834861081137,0.0493625827814569,0.1037357972712757,
1m,1024,1,50000,0.0001,50,-1,0.01,20,2024-04-04_14-01-28,successful,0.0765505581603757,0.0244663030804665,0.0445115894039735,0.0977910721052044,
1m,1024,1,50000,0.01,50,-1,0.1,20,2024-04-04_14-06-04,successful,0.0802705683122106,0.0249532595145654,0.0507201986754966,0.0918406766995158,
1m,1024,1,50000,0.001,50,-1,0.1,20,2024-04-04_14-10-40,successful,0.0750417977077052,0.0242144060586912,0.044478476821192,0.0908445129201853,
1m,1024,1,50000,0.0001,50,-1,0.1,20,2024-04-04_14-15-17,successful,0.053154495262333,0.015280152454884,0.033137417218543,0.0629677859427854,
1m,1024,2,4096,0.01,50,-1,0.0025,20,2024-04-04_14-19-53,successful,0.0791609929238421,0.0240629883365385,0.0514983443708609,0.0879639717772506,
1m,1024,2,4096,0.001,50,-1,0.0025,20,2024-04-04_14-29-00,successful,0.0861507027627896,0.0286132056895077,0.0508774834437086,0.1044770085591246,
1m,1024,2,4096,0.0001,50,-1,0.0025,20,2024-04-04_14-38-08,successful,0.0804681973165327,0.0265089717560936,0.0466307947019867,0.1001362813286074,
1m,1024,2,4096,0.01,50,-1,0.01,20,2024-04-04_14-47-17,successful,0.078269550754243,0.0237283589676291,0.0510182119205298,0.0867358999867943,
1m,1024,2,4096,0.001,50,-1,0.01,20,2024-04-04_14-56-24,successful,0.0842193330302149,0.0278730275573838,0.0497847682119205,0.1006609103117001,
1m,1024,2,4096,0.0001,50,-1,0.01,20,2024-04-04_15-05-32,successful,0.0702682060463922,0.0223281449728972,0.0410099337748344,0.088342851406063,
1m,1024,2,4096,0.01,50,-1,0.1,20,2024-04-04_15-14-40,successful,0.0762203707785171,0.0228728761580498,0.049933774834437,0.0842068648418274,
1m,1024,2,4096,0.001,50,-1,0.1,20,2024-04-04_15-23-49,successful,0.0549983461268172,0.0158835326310134,0.034933774834437,0.0624318470674828,
1m,1024,2,4096,0.0001,50,-1,0.1,20,2024-04-04_15-32-59,successful,0.053243555284755,0.0152905596597683,0.0337003311258278,0.0618829380601417,
1m,1024,2,10000,0.01,50,-1,0.0025,20,2024-04-04_15-42-07,successful,0.0785958159613543,0.0238517642980405,0.0509933774834437,0.087801008675925,
1m,1024,2,10000,0.001,50,-1,0.0025,20,2024-04-04_15-47-58,successful,0.0855967573588689,0.0281225326179492,0.0511506622516556,0.105259289150375,
